# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/attendance-lowest
# rows: 7366 (excluding this header and the column row)
# ranking: Texas campuses with the lowest attendance in 2025-26
# population: 7,366 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 280 reported no figure for this measure and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,enrollment,url
120,7366,3,020908004,Pace Center,Pearland ISD,A,86.3,86,https://txschools.net/campus/pace-center-020908004
120,7366,3,101912023,Sharpstown HS,Houston ISD,B,86.3,1310,https://txschools.net/campus/sharpstown-hs-101912023
120,7366,3,057905380,Wilmer-Hutchins HS,Dallas ISD,C,86.3,717,https://txschools.net/campus/wilmer-hutchins-hs-057905380
124,7366,0,220916005,Keys HS,Hurst-Euless-Bedford ISD,A,86.4,48,https://txschools.net/campus/keys-hs-220916005
125,7366,3,084901009,Dickinson Continuation Center,Dickinson ISD,A,86.6,69,https://txschools.net/campus/dickinson-continuation-center-084901009
125,7366,3,057905012,Dr L G Pinkston Sr HS,Dallas ISD,A,86.6,1174,https://txschools.net/campus/dr-l-g-pinkston-sr-hs-057905012
125,7366,3,101912007,Kashmere HS,Houston ISD,B,86.6,601,https://txschools.net/campus/kashmere-hs-101912007
125,7366,3,031912001,San Benito HS,San Benito CISD,B,86.6,2544,https://txschools.net/campus/san-benito-hs-031912001
129,7366,4,101902012,Davis HS Aldine,Aldine ISD,B,86.7,2945,https://txschools.net/campus/davis-hs-aldine-101902012
129,7366,4,015907044,Hot Wells MS,San Antonio ISD,D,86.7,526,https://txschools.net/campus/hot-wells-ms-015907044
129,7366,4,057905008,Justin F Kimball HS,Dallas ISD,B,86.7,1152,https://txschools.net/campus/justin-f-kimball-hs-057905008
129,7366,4,101912324,Liberty HS,Houston ISD,A,86.7,314,https://txschools.net/campus/liberty-hs-101912324
129,7366,4,101917003,South Houston HS,Pasadena ISD,B,86.7,1980,https://txschools.net/campus/south-houston-hs-101917003
134,7366,1,227901017,Akins Early College HS,Austin ISD,C,86.8,2354,https://txschools.net/campus/akins-early-college-hs-227901017
134,7366,1,101912044,Cullen MS,Houston ISD,C,86.8,318,https://txschools.net/campus/cullen-ms-101912044
136,7366,2,011902001,Elgin HS,Elgin ISD,C,86.9,1761,https://txschools.net/campus/elgin-hs-011902001
136,7366,2,015904002,McCollum HS,Harlandale ISD,C,86.9,1438,https://txschools.net/campus/mccollum-hs-015904002
136,7366,2,057905016,South Oak Cliff HS,Dallas ISD,A,86.9,1535,https://txschools.net/campus/south-oak-cliff-hs-057905016
139,7366,0,101912003,Northside HS,Houston ISD,A,87,918,https://txschools.net/campus/northside-hs-101912003
140,7366,6,227901008,Crockett Early College HS,Austin ISD,C,87.1,1463,https://txschools.net/campus/crockett-early-college-hs-227901008
140,7366,6,015907003,Edison HS,San Antonio ISD,B,87.1,1212,https://txschools.net/campus/edison-hs-015907003
140,7366,6,071902008,Irvin HS,El Paso ISD,C,87.1,826,https://txschools.net/campus/irvin-hs-071902008
140,7366,6,101915002,Klein Forest HS,Klein ISD,B,87.1,3201,https://txschools.net/campus/klein-forest-hs-101915002
140,7366,6,245902001,Lyford HS,Lyford CISD,B,87.1,427,https://txschools.net/campus/lyford-hs-245902001
140,7366,6,178909001,Robstown Early College HS,Robstown ISD,B,87.1,718,https://txschools.net/campus/robstown-early-college-hs-178909001
140,7366,6,161914002,Waco HS,Waco ISD,C,87.1,1703,https://txschools.net/campus/waco-hs-161914002
147,7366,0,178904004,Moody HS,Corpus Christi ISD,B,87.2,1230,https://txschools.net/campus/moody-hs-178904004
148,7366,2,015907060,Poe MS,San Antonio ISD,D,87.3,418,https://txschools.net/campus/poe-ms-015907060
148,7366,2,108909007,PSJA Southwest Early College HS,Pharr-San Juan-Alamo ISD,B,87.3,1459,https://txschools.net/campus/psja-southwest-early-college-hs-108909007
148,7366,2,220901006,Venture Alter HS,Arlington ISD,B,87.3,598,https://txschools.net/campus/venture-alter-hs-220901006
151,7366,2,108903001,Edcouch-Elsa HS,Edcouch-Elsa ISD,C,87.4,1257,https://txschools.net/campus/edcouch-elsa-hs-108903001
151,7366,2,101917007,Tegeler Community School,Pasadena ISD,A,87.4,174,https://txschools.net/campus/tegeler-community-school-101917007
151,7366,2,165901004,Viola M Coleman HS,Midland ISD,A,87.4,148,https://txschools.net/campus/viola-m-coleman-hs-165901004
154,7366,4,015907241,Carvajal Elem,San Antonio ISD,F,87.5,315,https://txschools.net/campus/carvajal-elem-015907241
154,7366,4,057905032,James Madison HS,Dallas ISD,B,87.5,279,https://txschools.net/campus/james-madison-hs-057905032
154,7366,4,057905015,Seagoville HS,Dallas ISD,B,87.5,1656,https://txschools.net/campus/seagoville-hs-057905015
154,7366,4,101919001,Spring HS,Spring ISD,C,87.5,2358,https://txschools.net/campus/spring-hs-101919001
154,7366,4,057905018,Sunset HS,Dallas ISD,B,87.5,2027,https://txschools.net/campus/sunset-hs-057905018
159,7366,4,220902012,Bob E Griggs HS,Birdville ISD,B,87.6,122,https://txschools.net/campus/bob-e-griggs-hs-220902012
159,7366,4,015905041,Brentwood MS,Edgewood ISD,F,87.6,576,https://txschools.net/campus/brentwood-ms-015905041
159,7366,4,152901021,Estacado HS,Lubbock ISD,C,87.6,698,https://txschools.net/campus/estacado-hs-152901021
159,7366,4,029901003,Hope HS,Calhoun County ISD,A,87.6,28,https://txschools.net/campus/hope-hs-029901003
159,7366,4,101912082,Williams MS,Houston ISD,A,87.6,270,https://txschools.net/campus/williams-ms-101912082
164,7366,2,101902004,Eisenhower HS,Aldine ISD,B,87.7,2012,https://txschools.net/campus/eisenhower-hs-101902004
164,7366,2,123910131,Fehl-Price Elem,Beaumont ISD,F,87.7,318,https://txschools.net/campus/fehl-price-elem-123910131
164,7366,2,057905013,Franklin D Roosevelt HS of Innovation,Dallas ISD,B,87.7,761,https://txschools.net/campus/franklin-d-roosevelt-hs-of-innovation-057905013
167,7366,3,123907009,Memorial HS,Port Arthur ISD,C,87.8,1980,https://txschools.net/campus/memorial-hs-123907009
167,7366,3,126905002,New Horizon HS,Joshua ISD,A,87.8,35,https://txschools.net/campus/new-horizon-hs-126905002
167,7366,3,007906001,Poteet HS,Poteet ISD,C,87.8,494,https://txschools.net/campus/poteet-hs-007906001
167,7366,3,212905003,Tyler HS,Tyler ISD,B,87.8,2066,https://txschools.net/campus/tyler-hs-212905003
171,7366,2,015907002,Burbank HS,San Antonio ISD,B,87.9,1433,https://txschools.net/campus/burbank-hs-015907002
171,7366,2,137901001,H M King HS,Kingsville ISD,C,87.9,814,https://txschools.net/campus/h-m-king-hs-137901001
171,7366,2,015907055,Rhodes MS,San Antonio ISD,F,87.9,386,https://txschools.net/campus/rhodes-ms-015907055
174,7366,8,071902002,Austin HS,El Paso ISD,B,88,903,https://txschools.net/campus/austin-hs-071902002
174,7366,8,220905021,Como Success Academy,Fort Worth ISD,A,88,428,https://txschools.net/campus/como-success-academy-220905021
174,7366,8,101907004,Cypress Creek HS,Cypress-Fairbanks ISD,B,88,3029,https://txschools.net/campus/cypress-creek-hs-101907004
174,7366,8,015904001,Harlandale HS,Harlandale ISD,C,88,1610,https://txschools.net/campus/harlandale-hs-015904001
174,7366,8,108908001,Mission HS,Mission CISD,B,88,2092,https://txschools.net/campus/mission-hs-108908001
174,7366,8,082903001,Pearsall HS,Pearsall ISD,C,88,564,https://txschools.net/campus/pearsall-hs-082903001
174,7366,8,067907001,Ranger HS,Ranger ISD,B,88,81,https://txschools.net/campus/ranger-hs-067907001
174,7366,8,139909008,Travis HS of Choice,Paris ISD,B,88,32,https://txschools.net/campus/travis-hs-of-choice-139909008
174,7366,8,216901180,Wall Special Programs,Sterling City ISD,A,88,11,https://txschools.net/campus/wall-special-programs-216901180
183,7366,7,159901004,C C Winn HS,Eagle Pass ISD,B,88.1,1781,https://txschools.net/campus/c-c-winn-hs-159901004
183,7366,7,232903102,Dalton Elem,Uvalde CISD,F,88.1,732,https://txschools.net/campus/dalton-elem-232903102
183,7366,7,061901039,Fred Moore HS,Denton ISD,A,88.1,75,https://txschools.net/campus/fred-moore-hs-061901039
183,7366,7,015905046,Gus Garcia MS,Edgewood ISD,D,88.1,722,https://txschools.net/campus/gus-garcia-ms-015905046
183,7366,7,015907137,Hirsch Elem,San Antonio ISD,F,88.1,540,https://txschools.net/campus/hirsch-elem-015907137
183,7366,7,028902001,Lockhart HS,Lockhart ISD,B,88.1,1955,https://txschools.net/campus/lockhart-hs-028902001
183,7366,7,165901003,Midland HS,Midland ISD,C,88.1,2585,https://txschools.net/campus/midland-hs-165901003
183,7366,7,057905024,North Dallas HS,Dallas ISD,B,88.1,1170,https://txschools.net/campus/north-dallas-hs-057905024
191,7366,3,013901001,A C Jones HS,Beeville ISD,C,88.2,918,https://txschools.net/campus/a-c-jones-hs-013901001
191,7366,3,015907045,Rogers College Prep MS,San Antonio ISD,D,88.2,312,https://txschools.net/campus/rogers-college-prep-ms-015907045
191,7366,3,094901001,Seguin HS,Seguin ISD,C,88.2,1903,https://txschools.net/campus/seguin-hs-094901001
191,7366,3,101912020,Yates HS,Houston ISD,A,88.2,739,https://txschools.net/campus/yates-hs-101912020
195,7366,3,071902001,Andress HS,El Paso ISD,C,88.3,1265,https://txschools.net/campus/andress-hs-071902001
