# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-campuses/overall-score-gains
# rows: 7283 (excluding this header and the column row)
# ranking: Texas campuses with the largest overall score gains since 2021-22
# population: 7,283 campuses of 8,066 campuses are ranked here.
# population: 420 were not rated by TEA for 2025-26 and are not ranked.
# population: 363 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# methodology: TEA re-scored 2021-22 under the rules it adopted for 2022-23 and publishes that re-scoring as "2021-22 What If". This ranking reads the re-scored series, so the change spans one consistent methodology rather than a break.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,district,rating,value,2021_22,2025_26,enrollment,url
139,7283,37,070908001,Midlothian HS,Midlothian ISD,A,20,74,94,2052,https://txschools.net/campus/midlothian-hs-070908001
139,7283,37,230906001,New Diana HS,New Diana ISD,A,20,72,92,339,https://txschools.net/campus/new-diana-hs-230906001
139,7283,37,220907111,North Riverside Elem,Keller ISD,A,20,72,92,460,https://txschools.net/campus/north-riverside-elem-220907111
139,7283,37,205905103,Odem Elem,Odem-Edroy ISD,C,20,59,79,235,https://txschools.net/campus/odem-elem-205905103
139,7283,37,205905101,Odem Int,Odem-Edroy ISD,C,20,59,79,193,https://txschools.net/campus/odem-int-205905101
139,7283,37,068901002,Odessa HS,Ector County ISD,C,20,59,79,3573,https://txschools.net/campus/odessa-hs-068901002
139,7283,37,085903001,Southland School,Southland ISD,B,20,65,85,145,https://txschools.net/campus/southland-school-085903001
139,7283,37,101919001,Spring HS,Spring ISD,C,20,57,77,2358,https://txschools.net/campus/spring-hs-101919001
139,7283,37,057905007,Thomas Jefferson HS,Dallas ISD,B,20,65,85,1495,https://txschools.net/campus/thomas-jefferson-hs-057905007
139,7283,37,235902013,Victoria East HS,Victoria ISD,B,20,67,87,1799,https://txschools.net/campus/victoria-east-hs-235902013
139,7283,37,049901107,W E Chalmers Elem,Gainesville ISD,B,20,63,83,685,https://txschools.net/campus/w-e-chalmers-elem-049901107
139,7283,37,084902006,Weis,Galveston ISD,C,20,57,77,830,https://txschools.net/campus/weis-084902006
139,7283,37,109911001,Whitney HS,Whitney ISD,A,20,74,94,407,https://txschools.net/campus/whitney-hs-109911001
139,7283,37,253901001,Zapata HS,Zapata County ISD,A,20,72,92,1055,https://txschools.net/campus/zapata-hs-253901001
139,7283,37,254901106,Zavala Elem,Crystal City ISD,A,20,70,90,298,https://txschools.net/campus/zavala-elem-254901106
177,7283,28,205901001,Aransas Pass HS,Aransas Pass ISD,B,19,69,88,434,https://txschools.net/campus/aransas-pass-hs-205901001
177,7283,28,101912002,Bellaire HS,Houston ISD,A,19,75,94,3167,https://txschools.net/campus/bellaire-hs-101912002
177,7283,28,084906109,Calvin Vincent PK Head Start,Texas City ISD,A,19,73,92,311,https://txschools.net/campus/calvin-vincent-pk-head-start-084906109
177,7283,28,170902011,Caney Creek HS,Conroe ISD,B,19,63,82,2831,https://txschools.net/campus/caney-creek-hs-170902011
177,7283,28,011901002,Cedar Creek HS,Bastrop ISD,B,19,63,82,2151,https://txschools.net/campus/cedar-creek-hs-011901002
177,7283,28,101912048,Clifton MS,Houston ISD,B,19,69,88,288,https://txschools.net/campus/clifton-ms-101912048
177,7283,28,165901106,De Zavala Elem,Midland ISD,B,19,63,82,469,https://txschools.net/campus/de-zavala-elem-165901106
177,7283,28,152901011,Dupre Academy HS,Lubbock ISD,C,19,60,79,116,https://txschools.net/campus/dupre-academy-hs-152901011
177,7283,28,101903002,Elsik HS,Alief ISD,B,19,63,82,3870,https://txschools.net/campus/elsik-hs-101903002
177,7283,28,015908109,Five Palms Elem,South San Antonio ISD,C,19,59,78,372,https://txschools.net/campus/five-palms-elem-015908109
177,7283,28,050902001,Gatesville HS,Gatesville ISD,B,19,68,87,732,https://txschools.net/campus/gatesville-hs-050902001
