# txschools.net — unofficial. Not operated by, endorsed by, or affiliated with the Texas Education Agency.
# source: Texas Education Agency, published publicly at https://txschools.gov
# snapshot: 15 August 2026 — the date this site fetched TEA's data. TEA may have revised it since.
# dataset: ranking board
# page: https://txschools.net/rankings/texas-districts/per-student-spending-declines
# rows: 1162 (excluding this header and the column row)
# ranking: Texas school districts with the largest per-student spending declines since 2018
# population: 1,162 districts of 1,199 districts are ranked here.
# population: 15 were not rated by TEA for 2025-26 and are not ranked.
# population: 22 have no figure at the start of the window and are not ranked.
# rank_of is how many rows were actually ranked (can be smaller than the population above); two rows on the same value share a rank ("tied"), and the next rank is skipped.
# empty cell = TEA did not publish that figure. It does not mean zero.
# numbers are unformatted: no thousands separators, no currency symbols, no percent signs.
# lines starting with # are comments — pandas: read_csv(path, comment='#')
rank,rank_of,tied,entity_id,name,county,rating,value,2018,2025,enrollment,url
108,1162,0,102904,Hallsville ISD,Harrison,C,980,10429,11409,26808,https://txschools.net/district/hallsville-isd-102904
109,1162,0,220919,Carroll ISD,Tarrant,A,1062,16700,17762,7866,https://txschools.net/district/carroll-isd-220919
110,1162,0,071810,El Paso Leadership Academy,El Paso,F,1108,11286,12394,665,https://txschools.net/district/el-paso-leadership-academy-071810
111,1162,0,240903,United ISD,Webb,A,1161,13187,14348,39764,https://txschools.net/district/united-isd-240903
112,1162,0,031905,La Feria ISD,Cameron,C,1165,14053,15218,2754,https://txschools.net/district/la-feria-isd-031905
113,1162,0,204901,Coldspring-Oakhurst CISD,San Jacinto,C,1176,14481,15657,1587,https://txschools.net/district/coldspring-oakhurst-cisd-204901
114,1162,0,070908,Midlothian ISD,Ellis,B,1231,13460,14691,11537,https://txschools.net/district/midlothian-isd-070908
115,1162,0,161912,Riesel ISD,McLennan,B,1298,14455,15753,683,https://txschools.net/district/riesel-isd-161912
116,1162,0,139905,Chisum ISD,Lamar,B,1309,21928,23237,1167,https://txschools.net/district/chisum-isd-139905
117,1162,0,143903,Shiner ISD,Lavaca,A,1410,16191,17601,700,https://txschools.net/district/shiner-isd-143903
118,1162,0,036901,Anahuac ISD,Chambers,C,1486,19724,21210,1533,https://txschools.net/district/anahuac-isd-036901
119,1162,0,043801,Imagine International Academy of North Texas,Collin,A,1521,8097,9618,1438,https://txschools.net/district/imagine-international-academy-of-north-texas-043801
120,1162,0,042901,Coleman ISD,Coleman,B,1561,13553,15114,740,https://txschools.net/district/coleman-isd-042901
121,1162,0,247904,Poth ISD,Wilson,A,1567,13972,15539,967,https://txschools.net/district/poth-isd-247904
122,1162,1,191901,Canyon ISD,Randall,B,1571,11075,12646,11527,https://txschools.net/district/canyon-isd-191901
122,1162,1,015910,North East ISD,Bexar,B,1571,13083,14654,53464,https://txschools.net/district/north-east-isd-015910
124,1162,0,167901,Goldthwaite ISD,Mills,B,1583,22776,24359,504,https://txschools.net/district/goldthwaite-isd-167901
125,1162,0,036903,East Chambers ISD,Chambers,B,1599,16151,17750,1563,https://txschools.net/district/east-chambers-isd-036903
126,1162,0,163902,D'Hanis ISD,Medina,A,1632,14811,16443,297,https://txschools.net/district/d-hanis-isd-163902
127,1162,0,165802,Midland Academy Charter School,Midland,B,1642,8934,10576,431,https://txschools.net/district/midland-academy-charter-school-165802
